"cliente";"cpf_cnpj";"uf";"municipio";"municipio_codigo";"data_da_contratacao";"valor_da_operacao_em_reais";"valor_desembolsado_em_reais";"fonte_de_recurso_desembolsos";"modalidade_de_apoio";"forma_de_apoio";"produto";"instrumento_financeiro";"inovacao";"area_operacional";"setor_cnae";"subsetor_cnae_agrupado";"subsetor_cnae_codigo";"subsetor_cnae_nome";"setor_bndes";"subsetor_bndes";"porte_do_cliente";"natureza_do_cliente";"instituicao_financeira_credenciada";"cnpj_do_agente_financeiro";"situacao_da_operacao"
"MINERVA S.A.";"**.*20.377/0001-**";" SP";"BARRETOS";3505500;"08/01/2002";"7.028.400";"7.035.625";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Produtos Alimentícios";"C1011200";"ABATE DE RESES, EXCETO SUINOS";"INDUSTRIA";"ALIMENTO E BEBIDA";"GRANDE";"PRIVADA";"BOSTON NEGOCIOS E PARTICIPACOES LTDA.";"33.140.666.0001-02";"LIQUIDADA"
"MINERVA S.A.";"**.*20.377/0001-**";" SP";"BARRETOS";3505500;"08/01/2002";"7.028.400";"7.035.625";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Produtos Alimentícios";"C1011200";"ABATE DE RESES, EXCETO SUINOS";"INDUSTRIA";"ALIMENTO E BEBIDA";"GRANDE";"PRIVADA";"BOSTON NEGOCIOS E PARTICIPACOES LTDA.";"33.140.666.0001-02";"LIQUIDADA"
"FRUTIVITA S/A";"**.*09.838/0001-**";" PE";"PETROLINA";2611101;"09/01/2002";"485.967";"486.416";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"AGROPECUÁRIA E PESCA";"Agropecuária";"A0119900";"CULT PLANTAS LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE";"AGROPECUÁRIA";"AGROPECUÁRIA";"PEQUENA";"PRIVADA";"BANCO BRADESCO FINANCIAMENTOS S.A.";"07.207.996.0001-50";"LIQUIDADA"
"MINERVA S.A.";"**.*20.377/0001-**";" SP";"BARRETOS";3505500;"10/01/2002";"4.758.800";"4.765.159";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Produtos Alimentícios";"C1011200";"ABATE DE RESES, EXCETO SUINOS";"INDUSTRIA";"ALIMENTO E BEBIDA";"GRANDE";"PRIVADA";"ITAU UNIBANCO S.A.";"60.701.190.0001-04";"LIQUIDADA"
"CALCADOS CHICARONI LTDA";"**.*51.979/0001-**";" SP";"FRANCA";3516200;"10/01/2002";"120.469";"120.618";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Couro, artefato e calçado";"C1530000";"FABRICACAO DE CALCADOS";"INDUSTRIA";"OUTRAS";"MÉDIA";"PRIVADA";"BANCO FIBRA SA";"58.616.418.0001-08";"LIQUIDADA"
"KEPLER WEBER SA";"**.*83.056/0001-**";" RS";"PORTO ALEGRE";4314902;"14/01/2002";"1.208.400";"1.210.638";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2833000";"FAB MAQ EQ P/AGRIC E PECUARIA PECA ACESS EXCETO PARA IRRIGACAO";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"BANCO BRADESCO S.A.";"60.746.948.0001-12";"LIQUIDADA"
"KEPLER WEBER SA";"**.*83.056/0001-**";" RS";"PORTO ALEGRE";4314902;"14/01/2002";"2.416.800";"2.420.776";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2833000";"FAB MAQ EQ P/AGRIC E PECUARIA PECA ACESS EXCETO PARA IRRIGACAO";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"ITAU UNIBANCO S.A.";"60.701.190.0001-04";"LIQUIDADA"
"KEPLER WEBER SA";"**.*83.056/0001-**";" RS";"PORTO ALEGRE";4314902;"14/01/2002";"1.208.400";"1.209.517";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2833000";"FAB MAQ EQ P/AGRIC E PECUARIA PECA ACESS EXCETO PARA IRRIGACAO";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"BANCO UNICO S.A.";"00.086.413.0001-30";"LIQUIDADA"
"SANRISIL S/A INDUSTRIA E COMERCIO";"**.*83.239/0001-**";" SP";"ITAQUAQUECETUBA";3523107;"14/01/2002";"4.838.859";"5.825.563";"RECURSOS LIVRES - FAT CAMBIAL";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Farmoquímico, farmacêutico";"C2110600";"FABRICACAO DE PRODUTOS FARMOQUIMICOS";"INDUSTRIA";"QUÍMICA E PETROQUÍMICA";"MÉDIA";"PRIVADA";"BANCO ABC BRASIL S.A.";"28.195.667.0001-06";"LIQUIDADA"
"BRF S.A.";"**.*38.723/0001-**";" SC";"CONCORDIA";4204301;"17/01/2002";"59.667.500";"59.747.241";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Produtos Alimentícios";"C1011200";"ABATE DE RESES, EXCETO SUINOS";"INDUSTRIA";"ALIMENTO E BEBIDA";"GRANDE";"PRIVADA";"BANCO BRADESCO S.A.";"60.746.948.0001-12";"LIQUIDADA"
"TUPY S/A";"**.*83.374/0001-**";" SP";"SAO PAULO";3550308;"17/01/2002";"11.933.500";"11.949.448";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Veículo, reboque e carroceria";"C2941700";"FAB PECAS E ACESSORIOS P/O SISTEMA MOTOR DE VEICULOS AUTOMOTORES";"INDUSTRIA";"MATERIAL DE TRANSPORTE";"GRANDE";"PRIVADA";"BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL";"92.816.560.0001-37";"LIQUIDADA"
"BRF S.A.";"**.*38.723/0001-**";" SC";"CONCORDIA";4204301;"18/01/2002";"59.102.500";"59.175.408";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Produtos Alimentícios";"C1011200";"ABATE DE RESES, EXCETO SUINOS";"INDUSTRIA";"ALIMENTO E BEBIDA";"GRANDE";"PRIVADA";"BANCO DO BRASIL SA";"00.000.000.0001-91";"LIQUIDADA"
"SAMSUNG SDI BRASIL LTDA";"**.*90.993/0001-**";" AM";"MANAUS";1302603;"18/01/2002";"30.733.300";"30.768.037";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Equip info, eletronico, ótico";"C2610800";"FABRICACAO DE COMPONENTES ELETRONICOS";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"ITAU UNIBANCO S.A.";"60.701.190.0001-04";"LIQUIDADA"
"MARICULTURA TROPICAL LTDA";"**.*83.844/0001-**";" RN";"PORTO DO MANGUE";2410256;"23/01/2002";"5.916.750";"5.943.001";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"AGROPECUÁRIA E PESCA";"Agropecuária";"A0300000";"PESCA E AQUICULTURA";"AGROPECUÁRIA";"AGROPECUÁRIA";"GRANDE";"PRIVADA";"MASSA FALIDA DO BANCO SANTOS";"58.257.619.0001-66";"LIQUIDADA"
"FRIGOESTRELA S/A";"**.*45.009/0001-**";" SP";"ESTRELA D'OESTE";3515202;"30/01/2002";"4.846.800";"4.860.302";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Produtos Alimentícios";"C1011200";"ABATE DE RESES, EXCETO SUINOS";"INDUSTRIA";"ALIMENTO E BEBIDA";"GRANDE";"PRIVADA";"MASSA FALIDA DO BANCO SANTOS";"58.257.619.0001-66";"LIQUIDADA"
"FRIGOESTRELA S/A";"**.*45.009/0001-**";" SP";"ESTRELA D'OESTE";3515202;"30/01/2002";"2.423.400";"2.431.651";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Produtos Alimentícios";"C1011200";"ABATE DE RESES, EXCETO SUINOS";"INDUSTRIA";"ALIMENTO E BEBIDA";"GRANDE";"PRIVADA";"BANCO RURAL S.A - EM LIQUIDACAO EXTRAJUDICIAL";"33.124.959.0001-98";"LIQUIDADA"
"MARINE - MARICULTURA DO NORDESTE S A";"**.*45.931/0001-**";" PE";"RECIFE";2611606;"30/01/2002";"2.723.320";"2.727.703";"RECURSOS LIVRES - FAT CAMBIAL";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"AGROPECUÁRIA E PESCA";"Agropecuária";"A0320000";"AQUICULTURA";"AGROPECUÁRIA";"AGROPECUÁRIA";"MÉDIA";"PRIVADA";"BANCO RURAL S.A - EM LIQUIDACAO EXTRAJUDICIAL";"33.124.959.0001-98";"LIQUIDADA"
"CIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA";"**.*45.234/0001-**";" MG";"BELO HORIZONTE";3106200;"31/01/2002";"7.315.200";"7.330.294";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Têxtil";"C1320000";"TECELAGEM, EXCETO MALHA";"INDUSTRIA";"TÊXTIL E VESTUÁRIO";"GRANDE";"PRIVADA";"BOSTON NEGOCIOS E PARTICIPACOES LTDA.";"33.140.666.0001-02";"LIQUIDADA"
"ADAMI SA MADEIRAS";"**.*54.478/0001-**";" SC";"CACADOR";4203006;"05/02/2002";"2.422.800";"2.352.000";"RECURSOS LIVRES - FAT CAMBIAL";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Madeira";"C1610200";"DESDOBRAMENTO DE MADEIRA";"INDUSTRIA";"OUTRAS";"GRANDE";"PRIVADA";"BANCO SANTANDER (BRASIL) S.A.";"90.400.888.0001-42";"LIQUIDADA"
"PAQUETA CALCADOS LTDA";"**.*84.522/0001-**";" SP";"SAO PAULO";3550308;"05/02/2002";"7.268.400";"7.290.884";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Couro, artefato e calçado";"C1530000";"FABRICACAO DE CALCADOS";"INDUSTRIA";"OUTRAS";"GRANDE";"PRIVADA";"ITAU UNIBANCO S.A.";"60.701.190.0001-04";"LIQUIDADA"
"ALLIAGE S/A INDUSTRIAS MEDICO ODONTOLOGICA";"**.*79.736/0001-**";" SP";"RIBEIRAO PRETO";3543402;"06/02/2002";"847.490";"850.723";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Farmoquímico, farmacêutico";"C2123800";"FABRICACAO DE PREPARACOES FARMACEUTICAS";"INDUSTRIA";"QUÍMICA E PETROQUÍMICA";"GRANDE";"PRIVADA";"BANCO RIBEIRAO PRETO S/A";"00.517.645.0001-04";"LIQUIDADA"
"SOUTH SERVICE TRADING SA";"**.*01.632/0001-**";" RS";"PORTO ALEGRE";4314902;"06/02/2002";"8.474.900";"8.282.050";"RECURSOS LIVRES - FAT CAMBIAL";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"COMERCIO E SERVICOS";"Comércio";"G4643500";"COMERCIO ATACADISTA DE CALCADOS E ARTIGOS DE VIAGEM";"COMERCIO/SERVICOS";"COMÉRCIO E SERVIÇOS";"GRANDE";"PRIVADA";"BANCO ITAUBANK S.A";"60.394.079.0001-04";"LIQUIDADA"
"PAQUETA CALCADOS LTDA";"**.*84.522/0001-**";" SP";"SAO PAULO";3550308;"13/02/2002";"4.938.200";"4.949.902";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE - Especial";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Couro, artefato e calçado";"C1530000";"FABRICACAO DE CALCADOS";"INDUSTRIA";"OUTRAS";"GRANDE";"PRIVADA";"ITAU UNIBANCO S.A.";"60.701.190.0001-04";"LIQUIDADA"
"PEVAL S A";"**.*31.657/0001-**";" BA";"SALVADOR";2927408;"18/02/2002";"747.198";"748.506";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Mineral não metálico";"C2391500";"APARELHAMENTO E OUTROS TRABALHOS EM PEDRAS";"INDUSTRIA";"OUTRAS";"MÉDIA";"PRIVADA";"MASSA FALIDA DO BANCO SANTOS";"58.257.619.0001-66";"LIQUIDADA"
